Jan  1 00:00:01 syslogd started: BusyBox v1.27.2
Jan  1 00:00:01 kernel: klogd started: BusyBox v1.27.2 (2021-06-26 00:12:45 UTC)
Jan  1 00:00:02 gpBleSdkD: UTIL_LOG_ERROR:Unable to find array tag ids in item { 	"status_id":	105, 	"values":	[1] } @settingsStatusMapping.cpp:578
Jan  1 00:00:02 gpBleSdkD: UTIL_LOG_ERROR:Unable to find array tag ids in item { 	"status_id":	85, 	"values":	[1] } @settingsStatusMapping.cpp:578
Jan  1 00:00:02 gpBleSdkD: UTIL_LOG_ERROR:Unable to find array tag ids in item { 	"status_id":	105, 	"values":	[0] } @settingsStatusMapping.cpp:578
Jan  1 00:00:02 gpBleSdkD: UTIL_LOG_ERROR:Unable to find array tag ids in item { 	"status_id":	105, 	"values":	[0] } @settingsStatusMapping.cpp:578
Jan  1 00:00:02 gpBleSdkD: UTIL_LOG_ERROR:Unable to find array tag ids in item { 	"status_id":	105, 	"values":	[1] } @settingsStatusMapping.cpp:578
Jan  1 00:00:02 gpBleSdkD: UTIL_LOG_ERROR:Unable to find array tag ids in item { 	"status_id":	89, 	"values":	[12] } @settingsStatusMapping.cpp:578
Jan  1 00:00:02 gpBleSdkD: UTIL_LOG_ERROR:Unable to find array tag ids in item { 	"status_id":	89, 	"values":	[15] } @settingsStatusMapping.cpp:578
Jan  1 00:00:02 gpBleSdkD: UTIL_LOG_ERROR:Unable to find array tag ids in item { 	"status_id":	89, 	"values":	[15] } @settingsStatusMapping.cpp:578
Jan  1 00:00:02 gpBleSdkD: UTIL_LOG_ERROR:Unable to find array tag ids in item { 	"status_id":	85, 	"values":	[1] } @settingsStatusMapping.cpp:578
Jan  1 00:00:02 gpBleSdkD: UTIL_LOG_ERROR:Unable to find array tag ids in item { 	"status_id":	89, 	"values":	[15] } @settingsStatusMapping.cpp:578
Jan  1 00:00:02 gpBleSdkD: UTIL_LOG_ERROR:Unable to find array tag ids in item { 	"status_id":	89, 	"values":	[12, 13, 24, 16, 18, 19, 21, 20, 25, 26] } @settingsStatusMapping.cpp:578
Jan  1 00:00:02 gpBleSdkD: UTIL_LOG_ERROR:Unable to find array tag ids in item { 	"status_id":	89, 	"values":	[13, 24, 16, 18, 19, 21, 20, 25, 26] } @settingsStatusMapping.cpp:578
Jan  1 00:00:02 gpBleSdkD: UTIL_LOG_ERROR:Unable to find array tag ids in item { 	"status_id":	89, 	"values":	[15, 13, 24, 16, 18, 19, 21, 20, 25, 26] } @settingsStatusMapping.cpp:578
Jan  1 00:00:02 gpBleSdkD: UTIL_LOG_ERROR:Unable to find array tag ids in item { 	"status_id":	89, 	"values":	[15, 13, 24, 16, 18, 19, 21, 20, 26] } @settingsStatusMapping.cpp:578
Jan  1 00:00:02 gpBleSdkD: UTIL_LOG_ERROR:Unable to find array tag ids in item { 	"status_id":	89, 	"values":	[15, 16, 18, 19, 20, 21, 25, 26] } @settingsStatusMapping.cpp:578
Jan  1 00:00:02 gpBleSdkD: UTIL_LOG_ERROR:Unable to find array tag ids in item { 	"status_id":	89, 	"values":	[15, 13, 16, 18, 19, 21, 20, 26] } @settingsStatusMapping.cpp:578
Jan  1 00:00:02 gpBleSdkD: UTIL_LOG_ERROR:Unable to find array tag ids in item { 	"status_id":	89, 	"values":	[15, 16, 18, 19, 21, 20, 26] } @settingsStatusMapping.cpp:578
Jan  1 00:00:02 gpBleSdkD: UTIL_LOG_ERROR:Unable to find array tag ids in item { 	"status_id":	89, 	"values":	[13, 24, 16, 18, 19, 21, 20, 25, 26] } @settingsStatusMapping.cpp:578
Jan  1 00:00:02 gpBleSdkD: UTIL_LOG_ERROR:Unable to find array tag ids in item { 	"status_id":	89, 	"values":	[15, 16, 18, 19, 20, 21, 24, 25, 26] } @settingsStatusMapping.cpp:578
Jan  1 00:00:02 gpBleSdkD: UTIL_LOG_ERROR:Unable to find array tag ids in item { 	"status_id":	89, 	"values":	[15, 16, 18, 19, 20, 21, 24, 25] } @settingsStatusMapping.cpp:578
Jan  1 00:00:02 gpBleSdkD: UTIL_LOG_ERROR:Unable to find array tag ids in item { 	"status_id":	89, 	"values":	[15, 16, 18, 19, 25] } @settingsStatusMapping.cpp:578
Jan  1 00:00:02 gpBleSdkD: UTIL_LOG_ERROR:Unable to find array tag ids in item { 	"status_id":	89, 	"values":	[15] } @settingsStatusMapping.cpp:578
Jan  1 00:00:02 gpBleSdkD: UTIL_LOG_ERROR:Unable to find array tag ids in item { 	"status_id":	89, 	"values":	[12, 24, 16, 18, 19, 25] } @settingsStatusMapping.cpp:578
Jan  1 00:00:02 gpBleSdkD: UTIL_LOG_ERROR:Unable to find array tag ids in item { 	"status_id":	89, 	"values":	[15, 13, 24, 19, 20] } @settingsStatusMapping.cpp:578
Jan  1 00:00:02 gpBleSdkD: UTIL_LOG_ERROR:Unable to find array tag ids in item { 	"status_id":	89, 	"values":	[12, 15, 13, 24, 25, 26] } @settingsStatusMapping.cpp:578
Jan  1 00:00:02 gpBleSdkD: UTIL_LOG_ERROR:Unable to find array tag ids in item { 	"status_id":	89, 	"values":	[13, 26] } @settingsStatusMapping.cpp:578
Jan  1 00:00:02 gpBleSdkD: UTIL_LOG_ERROR:Unable to find array tag ids in item { 	"status_id":	89, 	"values":	[25] } @settingsStatusMapping.cpp:578
Jan  1 00:00:02 gpBleSdkD: UTIL_LOG_ERROR:Unable to find array tag ids in item { 	"status_id":	89, 	"values":	[12, 15] } @settingsStatusMapping.cpp:578
Jan  1 00:00:02 gpBleSdkD: UTIL_LOG_ERROR:Unable to find array tag ids in item { 	"status_id":	89, 	"values":	[12, 15, 13, 24, 19, 21, 20, 25, 26] } @settingsStatusMapping.cpp:578
Jan  1 00:00:02 gpBleSdkD: UTIL_LOG_ERROR:Unable to find array tag ids in item { 	"status_id":	89, 	"values":	[18] } @settingsStatusMapping.cpp:578
Jan  1 00:00:02 gpBleSdkD: UTIL_LOG_ERROR:Unable to find array tag ids in item { 	"status_id":	89, 	"values":	[18] } @settingsStatusMapping.cpp:578
Jan  1 00:00:02 gpBleSdkD: UTIL_LOG_ERROR:Unable to find array tag ids in item { 	"status_id":	89, 	"values":	[26] } @settingsStatusMapping.cpp:578
Jan  1 00:00:02 gpBleSdkD: UTIL_LOG_ERROR:Unable to find array tag ids in item { 	"status_id":	89, 	"values":	[16, 18, 19, 25] } @settingsStatusMapping.cpp:578
Jan  1 00:00:02 gpBleSdkD: UTIL_LOG_ERROR:Unable to find array tag ids in item { 	"status_id":	89, 	"values":	[12, 15, 13, 24, 16, 19, 21, 20, 25, 26] } @settingsStatusMapping.cpp:578
Jan  1 00:00:02 gpBleSdkD: UTIL_LOG_ERROR:Unable to find array tag ids in item { 	"status_id":	89, 	"values":	[12, 15, 13, 24, 16, 18, 19, 20, 25] } @settingsStatusMapping.cpp:578
Jan  1 00:00:02 gpBleSdkD: UTIL_LOG_ERROR:Unable to find array tag ids in item { 	"status_id":	89, 	"values":	[12, 15, 13, 24, 16, 18, 19, 25] } @settingsStatusMapping.cpp:578
Jan  1 00:00:02 gpBleSdkD: UTIL_LOG_ERROR:Unable to find array tag ids in item { 	"status_id":	89, 	"values":	[18] } @settingsStatusMapping.cpp:578
Jan  1 00:00:02 gpBleSdkD: UTIL_LOG_ERROR:Unable to find array tag ids in item { 	"status_id":	89, 	"values":	[18] } @settingsStatusMapping.cpp:578
Jan  1 00:00:02 gpBleSdkD: UTIL_LOG_ERROR:Unable to find array tag ids in item { 	"status_id":	89, 	"values":	[18] } @settingsStatusMapping.cpp:578
Jan  1 00:00:02 gpBleSdkD: UTIL_LOG_ERROR:Unable to find array tag ids in item { 	"status_id":	89, 	"values":	[21, 26] } @settingsStatusMapping.cpp:578
Jan  1 00:00:02 gpBleSdkD: UTIL_LOG_ERROR:Unable to find array tag ids in item { 	"status_id":	89, 	"values":	[21, 26] } @settingsStatusMapping.cpp:578
Jan  1 00:00:02 gpBleSdkD: UTIL_LOG_ERROR:Unable to find array tag ids in item { 	"status_id":	89, 	"values":	[21, 26] } @settingsStatusMapping.cpp:578
Jan  1 00:00:02 gpBleSdkD: UTIL_LOG_ERROR:Unable to find array tag ids in item { 	"status_id":	89, 	"values":	[12, 15, 13, 24, 19, 21, 20, 25, 26] } @settingsStatusMapping.cpp:578
Jan  1 00:00:02 gpBleSdkD: UTIL_LOG_ERROR:Unable to find array tag ids in item { 	"status_id":	89, 	"values":	[24] } @settingsStatusMapping.cpp:578
Jan  1 00:00:02 gpBleSdkD: UTIL_LOG_ERROR:Unable to find array tag ids in item { 	"status_id":	89, 	"values":	[13, 24] } @settingsStatusMapping.cpp:578
Jan  1 00:00:02 gpBleSdkD: UTIL_LOG_ERROR:Unable to find array tag ids in item { 	"status_id":	89, 	"values":	[26] } @settingsStatusMapping.cpp:578
Jan  1 00:00:02 gpBleSdkD: UTIL_LOG_ERROR:Unable to find array tag ids in item { 	"status_id":	105, 	"values":	[0] } @settingsStatusMapping.cpp:578
Jan  1 00:00:02 gpBleSdkD: UTIL_LOG_ERROR:Unable to find array tag ids in item { 	"status_id":	89, 	"values":	[13, 24] } @settingsStatusMapping.cpp:578
Jan  1 00:00:02 gpBleSdkD: UTIL_LOG_ERROR:Unable to find array tag ids in item { 	"status_id":	89, 	"values":	[24] } @settingsStatusMapping.cpp:578
Jan  1 00:00:02 gpBleSdkD: UTIL_LOG_ERROR:Unable to find array tag ids in item { 	"status_id":	103, 	"values":	[1] } @settingsStatusMapping.cpp:578
Jan  1 00:00:02 gpBleSdkD: UTIL_LOG_ERROR:Unable to find array tag ids in item { 	"status_id":	89, 	"values":	[12, 15, 13, 16, 18, 19, 21, 20, 25, 26] } @settingsStatusMapping.cpp:578
Jan  1 00:00:02 gpBleSdkD: UTIL_LOG_ERROR:Unable to find array tag ids in item { 	"status_id":	89, 	"values":	[12, 15, 13, 16, 18, 19, 21, 20, 25, 26] } @settingsStatusMapping.cpp:578
Jan  1 00:00:02 gpBleSdkD: UTIL_LOG_ERROR:Unable to find array tag ids in item { 	"status_id":	89, 	"values":	[12, 15, 16, 18, 19, 24, 25] } @settingsStatusMapping.cpp:578
Jan  1 00:00:02 gpBleSdkD: UTIL_LOG_ERROR:Unable to find array tag ids in item { 	"status_id":	89, 	"values":	[13, 20] } @settingsStatusMapping.cpp:578
Jan  1 00:00:02 gpBleSdkD: UTIL_LOG_ERROR:Unable to find array tag ids in item { 	"status_id":	89, 	"values":	[21, 26] } @settingsStatusMapping.cpp:578
Jan  1 00:00:02 gpBleSdkD: UTIL_LOG_ERROR:Unable to find array tag ids in item { 	"status_id":	89, 	"values":	[12, 13, 15, 16, 18, 19, 20, 21, 24, 25] } @settingsStatusMapping.cpp:578
Jan  1 00:00:02 gpBleSdkD: UTIL_LOG_ERROR:Unable to find array tag ids in item { 	"status_id":	89, 	"values":	[19] } @settingsStatusMapping.cpp:578
Jan  1 00:00:02 gpBleSdkD: UTIL_LOG_ERROR:Unable to find array tag ids in item { 	"status_id":	89, 	"values":	[20] } @settingsStatusMapping.cpp:578
Jan  1 00:00:02 gpBleSdkD: UTIL_LOG_ERROR:Unable to find array tag ids in item { 	"status_id":	89, 	"values":	[21] } @settingsStatusMapping.cpp:578
Jan  1 00:00:02 gpBleSdkD: UTIL_LOG_ERROR:Unable to find array tag ids in item { 	"status_id":	89, 	"values":	[20] } @settingsStatusMapping.cpp:578
Jan  1 00:00:02 gpBleSdkD: UTIL_LOG_ERROR:Unable to find array tag ids in item { 	"status_id":	89, 	"values":	[21] } @settingsStatusMapping.cpp:578
Jan  1 00:00:02 gpBleSdkD: UTIL_LOG_ERROR:Unable to find array tag ids in item { 	"status_id":	89, 	"values":	[21] } @settingsStatusMapping.cpp:578
Jan  1 00:00:02 gpBleSdkD: UTIL_LOG_ERROR:Unable to find array tag ids in item { 	"status_id":	89, 	"values":	[15] } @settingsStatusMapping.cpp:578
Jan  1 00:00:02 gpBleSdkD: UTIL_LOG_ERROR:Unable to find array tag ids in item { 	"status_id":	89, 	"values":	[12, 15, 13, 24, 16, 18, 21, 20, 25, 26] } @settingsStatusMapping.cpp:578
Jan  1 00:00:02 gpBleSdkD: UTIL_LOG_ERROR:Unable to find array tag ids in item { 	"status_id":	89, 	"values":	[12, 15, 13, 24, 16, 18, 25, 26] } @settingsStatusMapping.cpp:578
Jan  1 00:00:02 gpBleSdkD: UTIL_LOG_ERROR:Unable to find array tag ids in item { 	"status_id":	89, 	"values":	[13, 20, 21, 24, 26] } @settingsStatusMapping.cpp:578
Jan  1 00:00:02 gpBleSdkD: UTIL_LOG_ERROR:Unable to find array tag ids in item { 	"status_id":	65, 	"values":	[1] } @settingsStatusMapping.cpp:578
Jan  1 00:00:02 gpBleSdkD: UTIL_LOG_ERROR:Unable to find array tag ids in item { 	"status_id":	65, 	"values":	[2] } @settingsStatusMapping.cpp:578
Jan  1 00:00:02 gpBleSdkD: UTIL_LOG_ERROR:Unable to find array tag ids in item { 	"status_id":	102, 	"values":	[0] } @settingsStatusMapping.cpp:578
Jan  1 00:00:02 gpBleSdkD: UTIL_LOG_ERROR:Unable to find array tag ids in item { 	"status_id":	102, 	"values":	[3] } @settingsStatusMapping.cpp:578
Jan  1 00:00:02 gpBleSdkD: UTIL_LOG_ERROR:Unable to find array tag ids in item { 	"status_id":	110, 	"values":	[5] } @settingsStatusMapping.cpp:578
Jan  1 00:00:02 gpBleSdkD: UTIL_LOG_ERROR:Unable to find array tag ids in item { 	"status_id":	89, 	"values":	[15, 13, 16, 18, 19, 21, 20, 24, 25, 26] } @settingsStatusMapping.cpp:578
Jan  1 00:00:02 gpBleSdkD: UTIL_LOG_ERROR:Unable to find array tag ids in item { 	"status_id":	89, 	"values":	[15, 13, 16, 18, 19, 21, 20, 24, 25, 26] } @settingsStatusMapping.cpp:578
Jan  1 00:00:02 gpBleSdkD: UTIL_LOG_ERROR:Unable to find array tag ids in item { 	"status_id":	74, 	"values":	[0] } @settingsStatusMapping.cpp:578
Jan  1 00:00:02 gpBleSdkD: UTIL_LOG_ERROR:Unable to find array tag ids in item { 	"status_id":	102, 	"values":	[0, 2] } @settingsStatusMapping.cpp:578
Jan  1 00:00:02 gpBleSdkD: UTIL_LOG_ERROR:Unable to find array tag ids in item { 	"status_id":	74, 	"values":	[2, 3] } @settingsStatusMapping.cpp:578
Jan  1 00:00:02 gpBleSdkD: UTIL_LOG_ERROR:Unable to find array tag ids in item { 	"status_id":	105, 	"values":	[0] } @settingsStatusMapping.cpp:578
Jan  1 00:00:02 gpBleSdkD: UTIL_LOG_ERROR:Unable to find array tag ids in item { 	"status_id":	105, 	"values":	[1] } @settingsStatusMapping.cpp:578
Jan  1 00:00:02 gpBleSdkD: UTIL_LOG_ERROR:Unable to find array tag ids in item { 	"status_id":	105, 	"values":	[1] } @settingsStatusMapping.cpp:578
Jan  1 00:00:02 gpBleSdkD: UTIL_LOG_ERROR:Unable to find array tag ids in item { 	"status_id":	89, 	"values":	[24] } @settingsStatusMapping.cpp:578
Jan  1 00:00:02 gpBleSdkD: UTIL_LOG_ERROR:Unable to find array tag ids in item { 	"status_id":	108, 	"values":	[1] } @settingsStatusMapping.cpp:578
Jan  1 00:00:02 gpBleSdkD: UTIL_LOG_ERROR:Unable to find array tag ids in item { 	"status_id":	109, 	"values":	[1] } @settingsStatusMapping.cpp:578
Jan  1 00:00:02 gpBleSdkD: UTIL_LOG_ERROR:Waiting for gpBleSdkD babyblue thread to start @gpBleSdkD.cpp:155
Jan  1 00:00:02 gpBleSdkD: Starting gpBleSdkD
Jan  1 00:00:02 gpNet: [I][CSI ] gotCSIregistrati() -            :CR register 23 CSI for mbox /to_blesdk
Jan  1 00:00:02 gpNet: [I][CSI ]      log_csi_msg() - /to_blesdk :CU /frMultiple CSI Notify(dyn)-CSI_BATTERY_EXTERNAL_POWER(0x3d) <- "0x00"
Jan  1 00:00:02 gpNet: [I][GNET]         INsendCU() - /to_blesdk :CU Sent 23 CSI Notifications to mbox /to_blesdk (arglen=150)
Jan  1 00:00:02 womDaemon: 1970-01-01T00:00:02.502    [INFO]: WOM constructor
Jan  1 00:00:02 womDaemon: 1970-01-01T00:00:02.509    [INFO]: Starting womDaemon daemon
Jan  1 00:00:02 gpNet: [I][CSI ] gotCSIregistrati() -            :CR register 09 CSI for mbox /to_wom
Jan  1 00:00:02 gpNet: [I][GNET]         INsendCU() - /to_wom    :CU Sent 9 CSI Notifications to mbox /to_wom (arglen=66)
Jan  1 00:00:02 womDaemon: 1970-01-01T00:00:02.512    [INFO]: [WOM]: enterState: kWomState_Init->kWomState_CSISubscribe
Jan  1 00:00:02 gpNet: [I][CSI ]      log_csi_msg() - /to_blesdk :CN /fr_csi_womDaemon148 CSI Notify(dyn)-CSI_CAH_WOM_STAER(0x62) <- "0x03,0x01,0x03,0x00"
Jan  1 00:00:02 womDaemon: 1970-01-01T00:00:02.513    [INFO]: [WOM]: received CU
Jan  1 00:00:02 womDaemon: 1970-01-01T00:00:02.513    [INFO]: [WOM]: onEvent: received event kWomEvent_LiveStreamURLSet while in state kWomState_CSISubscribe
Jan  1 00:00:02 womDaemon: 1970-01-01T00:00:02.513    [INFO]: [WOM]: onEvent: received event kWomEvent_CSIRegisterAck while in state kWomState_CSISubscribe
Jan  1 00:00:02 womDaemon: 1970-01-01T00:00:02.514    [INFO]: [WOM]: enterState: kWomState_CSISubscribe->kWomState_Idle
Jan  1 00:00:02 gpNet: [I][CSI ]      log_csi_msg() - /to_blesdk :CN /fr_csi_womDaemon148 CSI Notify(dyn)-CSI_WMS_STATE(0x4a) <- "0x00,0x00,0x00,0x00"
Jan  1 00:00:02 gpNet: [I][CSI ]      log_csi_msg() - /to_blesdk :CN /fr_csi_womDaemon148 CSI Notify(dyn)-CSI_BROADCAST_ERROR_CODE(0x08) <- "0x00,0x00,0x00,0x00"
Jan  1 00:00:02 gpNet: [I][CSI ]      log_csi_msg() - /to_blesdk :CN /fr_csi_womDaemon148 CSI Notify(dyn)-CSI_CAH_WOM_STAER(0x62) <- "0x05,0x01,0x03,0x00"
Jan  1 00:00:02 gpUsb: [I][BOOT]             main() - Starting gpUsb
Jan  1 00:00:02 gpUsb: [I][USB ]             main() - IPC open
Jan  1 00:00:02 gpUsb: [I][USB ]             main() - mq attributes [flags = 0] [maxmsg = 5] [msgsize = 8192] [curmsgs = 0]
Jan  1 00:00:02 gpUsb: [I][USB ]             main() - mq attributes [flags = 0] [maxmsg = 5] [msgsize = 8192] [curmsgs = 0]
Jan  1 00:00:02 gpUsb: [I][USB ]             main() - mq attributes [flags = 0] [maxmsg = 5] [msgsize = 8] [curmsgs = 0]
Jan  1 00:00:02 gpUsb: [I][USB ]             main() - Stack init
Jan  1 00:00:02 gpUsb: [I][USB ] send_usb_init_to_rtos() - SD Response, cmd : IN, arg : MTP!
Jan  1 00:00:02 gpUsb: [I][USB ] send_usb_init_to_rtos() - Buf : , len : 53
Jan  1 00:00:02 gpUsb: [I][USB ] send_usb_init_to_rtos() - buf send 
Jan  1 00:00:02 gpUsb: [I][USB ]             main() - Stack init done
Jan  1 00:00:02 gpUsb: [I][USB ]             main() - Main Ready
Jan  1 00:00:02 gpPlatform: [I][BOOT]        main() - Starting gpPlatform daemon
Jan  1 00:00:02 gpNet: [I][CSI ] gotCSIregistrati() -            :CR register 05 CSI for mbox /to_pla
Jan  1 00:00:02 gpNet: [I][GNET]         INsendCU() - /to_pla    :CU Sent 5 CSI Notifications to mbox /to_pla (arglen=35)
Jan  1 00:00:02 gpPlatform: [I][PLAT] setCAHServr() - gpPlatform:setCAHServr Camera Model is 57, Server Env is 0
Jan  1 00:00:02 gpAth: [I][BOOT]             main() - Starting (daemon)
Jan  1 00:00:02 gpAth: [I][ATH ]             main() - Version 6.0.0.0  built on Aug  4 2021 00:47:24 by  at e2c41ad
Jan  1 00:00:02 gpAth: [I][ATH ]             main() - Crash handler options: 0F0001FF
Jan  1 00:00:02 gpAth: [I][DRV ]             main() - Initializing netlink..
Jan  1 00:00:02 gpAth: [I][ITR ] open_itron_communication() - Open itron communication
Jan  1 00:00:02 gpNet: [I][CSI ] gotCSIregistrati() -            :CR register 06 CSI for mbox /to_ath
Jan  1 00:00:02 gpNet: [I][GNET]         INsendCU() - /to_ath    :CU Sent 6 CSI Notifications to mbox /to_ath (arglen=45)
Jan  1 00:00:02 gpNet: [I][CSI ] gotCSIregistrati() -            :CR register 31 CSI for mbox /to_gpnet
Jan  1 00:00:02 gpNet: [I][GNET]         RTsendHS() - /to_wif    :HS Hello Set (Indicate Wireless is ready)
Jan  1 00:00:02 gpNet: [I][GNET] suspend_state_ma() - SUSP-SM    :  SUSM_RECEIVED_CR_GPN hr+HS+cr+mr+jr+hw+wr+br+pr su+yy+ps+js+ms+ws+bs ack+so [wifi_rst+fr+wf] 00000002 usec=2761378
Jan  1 00:00:02 gpNet: [I][CSI ]      log_csi_msg() - /to_gpnet  :CU /frMultiple CSI Notify(dyn)-CSI_BATTERY_EXTERNAL_POWER(0x3d) <- "0x00"
Jan  1 00:00:02 gpNet: [I][GNET]         INsendCU() - /to_gpnet  :CU Sent 30 CSI Notifications to mbox /to_gpnet (arglen=547)
Jan  1 00:00:02 gpNet: [I][GNET]         INsendCU() - /to_gpnet  :CU Sent 1 CSI Notifications to mbox /to_gpnet (arglen=1262)
Jan  1 00:00:02 gpAth: [I][ATH ]             main() - ready and waiting for an event...
Jan  1 00:00:02 gpUdp: [I][BOOT]             main() - Starting gpUdp daemon
Jan  1 00:00:02 kernel: [    2.774031] random: crng init done
Jan  1 00:00:02 kernel: [    2.774046] random: 2 urandom warning(s) missed due to ratelimiting
Jan  1 00:00:02 root: The current system time is: Thu Jan  1 00:00:02 UTC 1970
Jan  1 00:00:03 gpNet: [I][GNET]   anal_set_count() - analcnt    : set ANL_NET_CNT(9) to 0
Jan  1 00:00:03 gpNet: [I][GNET] doCSIschedCapTGT() -            : process CSI_SCHEDULED_CAPTURE_TARGET target=1970/01/01-00:00:00 offset=8 state=SC_OFFU+ cnt=4
Jan  1 00:00:03 gpAth: [I][ATH ]  parse_csi_state() - CSI_WIFI_BAND = 1
Jan  1 00:00:03 gpAth: [I][ATH ]  parse_csi_state() - CSI_FW_FORCE_UPDATE = 0
Jan  1 03:20:02 gpNet: [I][GNET]        gpTimeSet() - 1970/01/01-00:00:03 + 1451618399 seconds = 2016/01/01-03:20:02
Jan  1 03:20:02 gpNet: [I][GNET]       set_status() - Set STS_ACTIVE_USER            - BPsetHR()
Jan  1 03:20:02 gpNet: [I][GNET]          BPsetHR() - /fr_wif    :HR ================== Hello Ready(boot#03)(Cold boot)POWER_BUTTON(0x02)br=0x00(2016/01/01-03:20:02)(OFFtime=0m:0s)
Jan  1 03:20:02 gpNet: [I][GNET]          BPsetHR() - /fr_wif    : HR compiled:Aug  4 2021 00:47:22 by: at:e2c41ad (ACK)br=0x00 st=00000000 pair=NONE menu=Classic
Jan  1 03:20:02 gpNet: [I][GNET]          BPsetHR() - /fr_wif    : HR Boot: (0x02)Power button pressed.(FRW_POWER_BOOT_REASON_POWER_BUTTON)
Jan  1 03:20:02 gpNet: [I][CSI ]      log_csi_msg() - /to_gpnet  :CN /fr_gpnet   CSI Notify(dyn)-CSI_CAMERA_WAKE_REASON(0x2f) <- "0x02,0x00,0x00,0x00"
Jan  1 03:20:02 gpNet: [I][CSI ]      log_csi_msg() - /to_gpnet  :CN /fr_gpnet   CSI Notify(dyn)-CSI_CNT_THIS_BOOT_BT(0x82) <- "0x00,0x00,0x00,0x00"
Jan  1 03:20:02 gpNet: [I][CSI ]      log_csi_msg() - /to_gpnet  :CN /fr_gpnet   CSI Notify(dyn)-CSI_CNT_THIS_BOOT_RC(0x83) <- "0x00,0x00,0x00,0x00"
Jan  1 03:20:02 gpNet: [I][CSI ]      log_csi_msg() - /to_gpnet  :CN /fr_gpnet   CSI Notify(dyn)-CSI_CNT_THIS_BOOT_AP(0x84) <- "0x00,0x00,0x00,0x00"
Jan  1 03:20:02 gpNet: [I][GNET]  setSuspendState() -            :   setSuspendState: SS_RESUMING
Jan  1 03:20:02 gpNet: [I][GNET] suspend_state_ma() - SUSP-SM    :  SUSM_RECEIVED_HR_CMD HR+hs+cr+mr+jr+hw+wr+br+pr su+yy+ps+js+ms+ws+bs ack+so [wifi_rst+fr+wf] 00000001 usec=000000
Jan  1 03:20:02 gpNet: [I][GNET]    state_machine() - AP State Ma:   AP_USER_OFF + PREPARE_COLD_BOOT   -> sm_ap_ptor      AP_USER_OFF 
Jan  1 03:20:02 gpNet: [I][GNET] executeResumCode() - PSMR       :   RESUME POWER STATE (@ resume time=0) [0]: Set:PWR_ALL_ON then WAIT 10 MINS
Jan  1 03:20:02 gpNet: [I][GNET] executeResumCode() - PSMR       :   next_time=600 since_resume=0
Jan  1 03:20:02 gpNet: [I][GNET]         UDsendLC() - /to_udp    :LD LCD power icon
Jan  1 03:20:02 gpNet: [I][GNET]    state_machine() - RC State Ma:   RC_USER_OFF + PREPARE_COLD_BOOT   -> sm_rc_ptor      RC_USER_OFF 
Jan  1 03:20:02 gpNet: [I][GNET]    state_machine() - BT State Ma:   BT_USER_OFF + PREPARE_COLD_BOOT   -> sm_bt_ptoc1off  BT_USER_OFF 
Jan  1 03:20:02 gpNet: [I][GNET]    state_machine() - SoftTubesSM:   ST_OFF                     + ST_EVT_RESUME            -> sm_nop           ST_OFF
Jan  1 03:20:02 gpNet: [I][CSI ] gotCSIregistrati() -            :CR register 03 CSI for mbox /to_udp
Jan  1 03:20:02 gpNet: [I][GNET]         INsendCU() - /to_udp    :CU Sent 3 CSI Notifications to mbox /to_udp (arglen=24)
Jan  1 03:20:02 gpNet: [I][GNET]          BPgetGP() - /fr_wif    :gp%0001 pair=NONE menu=Classic status=00000000 [sts2=04c10400 feat=00015b80]
Jan  1 03:20:02 gpNet: [I][CSI ] gotCSIregistrati() -            :CR register 57 CSI for mbox /to_wif
Jan  1 03:20:02 gpNet: [I][GNET]         INsendCU() - /to_wif    :CU Sent 57 CSI Notifications to mbox /to_wif (arglen=515)
Jan  1 03:20:02 gpUsb: [I][USB ]             main() - Message received from IPC = 113
Jan  1 03:20:02 gpUsb: [I][USB ] process_arriving_message() - cmd : in, value : C34XXXXXXXXXXX
Jan  1 03:20:02 gpUsb: [I][USB ] usb_handle_init_response() - Size=64, len=64
Jan  1 03:20:02 gpUsb: [I][USB ] usb_handle_init_response() - Camera Serial no : C34XXXXXXXXXXX, Version : H21.01.01.00.00, Camera ID: 57
Jan  1 03:20:02 gpUsb: [I][USB ] usb_handle_init_response() - Camera Name : HERO10 Black, MTP Product ID : 83, Is MFG_SUPPORT flag: 0, eth product ID: 85
Jan  1 03:20:02 gpUsb: [I][USB ] usb_sd_state_update() - add removables : 3
Jan  1 03:20:02 gpUsb: [I][USB ] usb_sd_state_update() - save SD state
Jan  1 03:20:02 gpUsb: [I][USB ] usb_handle_init_response() - is parakeet : 0, default_class : 0
Jan  1 03:20:02 gpUsb: [I][USB ] usb_handle_init_response() - Camera Serial no : C34XXXXXXXXXXX, Version : H21.01.01.00.00, Camera_id : 57
Jan  1 03:20:02 gpUsb: [I][USB ]   usb_stop_timer() - Stop Timer State=0
Jan  1 03:20:02 gpUsb: [W][USB ] usb_handle_init_response() - parakeet Not Connected
Jan  1 03:20:02 gpNet: [I][CSI ]      log_csi_msg() - /to_gpnet  :CN /fr_wif     CSI Notify(dyn)-CSI_NEW_WAKEUP_REASON(0x7f) <- "0xff,0x00,0x00,0x00"
Jan  1 03:20:02 gpNet: [I][CSI ]      log_csi_msg() - /to_wif    :CN /fr_wif     CSI Notify(dyn)-CSI_NEW_WAKEUP_REASON(0x7f) <- "0xff,0x00,0x00,0x00"
